variable,n,missing,min,q1,median,mean,q3,max,sd,iqr,mode_rounded
motility_prop,574,0,0.02594472645234066,0.3236778169903929,0.390336147010115,0.3908372133590019,0.4738447071759264,0.7999537465309898,0.10490764515243715,0.15016689018553353,0
settlement_count,574,0,0,358,1024.5,2773.9024390243903,2584.25,43891,4902.464024577871,2226.25,0
mobile_cell_count,574,0,46,923,12648,17196,30097.5,111747,17409.546841464053,29174.5,277
stationary_cell_count,574,0,247,1939,15932,23957.79268292683,37508.5,552988,32734.385066089526,35569.5,622
