var1,var2,r,p,n,q
motility_prop,motility_prop,0.9999999999999998,0,317,NA
log_mobile,motility_prop,0.3629941406441297,2.6262157937182893e-11,317,6.565539484295723e-11
log_stationary,motility_prop,0.06974343751389118,0.21558644722495576,317,0.21558644722495576
log_total,motility_prop,0.1688782246308267,0.0025561925655827886,317,0.0031952407069784855
log_settlement,motility_prop,0.322770650495179,4.04734940258308e-9,317,6.745582337638467e-9
motility_prop,log_mobile,0.3629941406441297,2.6262157937182893e-11,317,6.565539484295723e-11
log_mobile,log_mobile,0.9999999999999998,0,317,NA
log_stationary,log_mobile,0.9164301552273484,2.54412245672663e-127,317,0.21558644722495576
log_total,log_mobile,0.963906888068271,4.2576796600940335e-183,317,0.0031952407069784855
log_settlement,log_mobile,0.31406735013921394,1.0972270735419086e-8,317,6.745582337638467e-9
motility_prop,log_stationary,0.06974343751389118,0.21558644722495576,317,6.565539484295723e-11
log_mobile,log_stationary,0.9164301552273484,2.54412245672663e-127,317,6.565539484295723e-11
log_stationary,log_stationary,0.9999999999999998,0,317,NA
log_total,log_stationary,0.9861458090335428,7.838755778142448e-248,317,0.0031952407069784855
log_settlement,log_stationary,0.22770565685244298,4.2757479589642905e-5,317,6.745582337638467e-9
motility_prop,log_total,0.1688782246308267,0.0025561925655827886,317,6.565539484295723e-11
log_mobile,log_total,0.963906888068271,4.2576796600940335e-183,317,6.565539484295723e-11
log_stationary,log_total,0.9861458090335428,7.838755778142448e-248,317,0.21558644722495576
log_total,log_total,1,0,317,NA
log_settlement,log_total,0.2620988431429484,2.2334354743039423e-6,317,6.745582337638467e-9
motility_prop,log_settlement,0.322770650495179,4.04734940258308e-9,317,6.565539484295723e-11
log_mobile,log_settlement,0.31406735013921394,1.0972270735419086e-8,317,6.565539484295723e-11
log_stationary,log_settlement,0.22770565685244298,4.2757479589642905e-5,317,0.21558644722495576
log_total,log_settlement,0.2620988431429484,2.2334354743039423e-6,317,0.0031952407069784855
log_settlement,log_settlement,1,0,317,NA
