days_from_start,motility_prop.n,motility_prop.mean,motility_prop.se,motility_prop.median,motility_prop.q1,motility_prop.q3,settlement_count.n,settlement_count.mean,settlement_count.se,settlement_count.median,settlement_count.q1,settlement_count.q3,mobile_cell_count.n,mobile_cell_count.mean,mobile_cell_count.se,mobile_cell_count.median,mobile_cell_count.q1,mobile_cell_count.q3,stationary_cell_count.n,stationary_cell_count.mean,stationary_cell_count.se,stationary_cell_count.median,stationary_cell_count.q1,stationary_cell_count.q3
0,38,0.4634316190218197,0.020373709104720167,0.48719069116841707,0.41389747130118315,0.5203425053006963,38,3724.842105263158,833.5003155353958,1207.5,487.5,3969.75,38,11603.763157894737,2053.8083178797506,9445.5,2890.75,14915.5,38,11500.631578947368,1884.3298662112388,8295,3442.5,15770.5
1,21,0.37495842439761506,0.03195622920762433,0.3706480796986658,0.25086249383932974,0.5432328239019689,21,4243.523809523809,1326.8743555170543,648,368,6669,21,13603.238095238095,2956.2128112266837,11282,364,26681,21,15051.42857142857,3001.5271157413545,19746,993,26540
4,279,0.4094801057305523,0.005722038128102927,0.3992097519966372,0.3762080360299802,0.4791767683902275,279,3231.1397849462364,330.4781716589915,1103,374,3256,279,23337.139784946237,1102.3376863347078,22925,3258.5,38689.5,279,33128.444444444445,2415.722214281086,26312,5635,51505
