group,n_day0,n_day4,mean_day0,mean_day4,med_day0,med_day4,decline_mean_pct,decline_median_pct
ALL,59,317,0.4782895901689889,0.41392530122048443,0.5011882192731836,0.40098049324622,-13.457179556377831,-19.994030620329323
L__digitata,38,279,0.4634316190218197,0.4094801057305523,0.48719069116841707,0.3992097519966372,-11.64174196942897,-18.058830098082826
