var1,var2,r,p,n,q
motility_prop,motility_prop,1,0,317,NA
log_mobile,motility_prop,0.5257075288694778,6.341454182777001e-24,317,1.5853635456942504e-23
log_stationary,motility_prop,0.24971149911992724,6.798175502446408e-6,317,6.798175502446408e-6
log_total,motility_prop,0.35989565168017756,3.973049957214382e-11,317,6.621749928690637e-11
log_settlement,motility_prop,0.3034399758735109,3.552870988452427e-8,317,4.441088735565534e-8
motility_prop,log_mobile,0.5257075288694778,6.341454182777001e-24,317,1.5853635456942504e-23
log_mobile,log_mobile,1,0,317,NA
log_stationary,log_mobile,0.9529551648376147,2.3872310561592915e-165,317,6.798175502446408e-6
log_total,log_mobile,0.9799251287512607,1.1250776040619998e-222,317,6.621749928690637e-11
log_settlement,log_mobile,0.27756793295451004,5.128394944286275e-7,317,4.441088735565534e-8
motility_prop,log_stationary,0.24971149911992724,6.798175502446408e-6,317,1.5853635456942504e-23
log_mobile,log_stationary,0.9529551648376147,2.3872310561592915e-165,317,1.5853635456942504e-23
log_stationary,log_stationary,1,0,317,NA
log_total,log_stationary,0.9930924562756932,3.345628118896623e-295,317,6.621749928690637e-11
log_settlement,log_stationary,0.21408699934573194,1.2239311083263787e-4,317,4.441088735565534e-8
motility_prop,log_total,0.35989565168017756,3.973049957214382e-11,317,1.5853635456942504e-23
log_mobile,log_total,0.9799251287512607,1.1250776040619998e-222,317,1.5853635456942504e-23
log_stationary,log_total,0.9930924562756932,3.345628118896623e-295,317,6.798175502446408e-6
log_total,log_total,1,0,317,NA
log_settlement,log_total,0.2462607327880515,9.176280487375401e-6,317,4.441088735565534e-8
motility_prop,log_settlement,0.3034399758735109,3.552870988452427e-8,317,1.5853635456942504e-23
log_mobile,log_settlement,0.27756793295451004,5.128394944286275e-7,317,1.5853635456942504e-23
log_stationary,log_settlement,0.21408699934573194,1.2239311083263787e-4,317,6.798175502446408e-6
log_total,log_settlement,0.2462607327880515,9.176280487375401e-6,317,6.621749928690637e-11
log_settlement,log_settlement,1,0,317,NA
