variable,n,missing,min,q1,median,mean,q3,max,sd,iqr,mode_rounded
motility_prop,642,0,0.02594472645234066,0.33021593520223896,0.3933720929934813,0.39756389660180913,0.4813926744162704,0.7999537465309898,0.10777699399571918,0.15117673921403146,0
settlement_count,642,0,0,368,1043.5,3033.2102803738317,2970.75,43891,5202.158984875329,2602.75,0
mobile_cell_count,642,0,46,1257,13896,17963.666666666668,30101.75,111747,17896.501607109443,28844.75,277
stationary_cell_count,642,0,247,2512.75,17719,24894.53426791277,39085.5,552988,32996.21653335401,36572.75,622
