var1,var2,r,p,n,q
motility_prop,motility_prop,1,0,59,NA
log_mobile,motility_prop,0.368907071887785,0.004038169857012759,59,0.006730283095021265
log_stationary,motility_prop,0.06949152542372883,0.6009834511728374,59,0.6009834511728374
log_total,motility_prop,0.250146113383986,0.05603059026846239,59,0.070038237835577985
log_settlement,motility_prop,0.446990064289889,3.865613387506165e-4,59,0.0019328066937530823
motility_prop,log_mobile,0.368907071887785,0.004038169857012759,59,0.006730283095021265
log_mobile,log_mobile,1,0,59,NA
log_stationary,log_mobile,0.9129164231443603,7.528815467803274e-24,59,0.6009834511728374
log_total,log_mobile,0.9854471069549973,1.4496533160281598e-45,59,0.070038237835577985
log_settlement,log_mobile,0.34178842781998836,0.008061964221539729,59,0.0019328066937530823
motility_prop,log_stationary,0.06949152542372883,0.6009834511728374,59,0.006730283095021265
log_mobile,log_stationary,0.9129164231443603,7.528815467803274e-24,59,0.006730283095021265
log_stationary,log_stationary,1,0,59,NA
log_total,log_stationary,0.9590882524839277,6.321324962340687e-33,59,0.070038237835577985
log_settlement,log_stationary,0.2203974284044419,0.09346843229823974,59,0.0019328066937530823
motility_prop,log_total,0.250146113383986,0.05603059026846239,59,0.006730283095021265
log_mobile,log_total,0.9854471069549973,1.4496533160281598e-45,59,0.006730283095021265
log_stationary,log_total,0.9590882524839277,6.321324962340687e-33,59,0.6009834511728374
log_total,log_total,1,0,59,NA
log_settlement,log_total,0.29094097019286974,0.025381461309412108,59,0.0019328066937530823
motility_prop,log_settlement,0.446990064289889,3.865613387506165e-4,59,0.006730283095021265
log_mobile,log_settlement,0.34178842781998836,0.008061964221539729,59,0.006730283095021265
log_stationary,log_settlement,0.2203974284044419,0.09346843229823974,59,0.6009834511728374
log_total,log_settlement,0.29094097019286974,0.025381461309412108,59,0.070038237835577985
log_settlement,log_settlement,1,0,59,NA
