var1,var2,r,p,n,q
motility_prop,motility_prop,1,0,59,NA
log_mobile,motility_prop,0.6002735272659927,5.026827604852156e-7,59,1.256706901213039e-6
log_stationary,motility_prop,0.12288900272700229,0.3537951985304184,59,0.3537951985304184
log_total,motility_prop,0.3353089706111981,0.009429439047978124,59,0.011786798809972656
log_settlement,motility_prop,0.41788078900698794,9.904951042676582e-4,59,0.0016508251737794304
motility_prop,log_mobile,0.6002735272659927,5.026827604852156e-7,59,1.256706901213039e-6
log_mobile,log_mobile,1,0,59,NA
log_stationary,log_mobile,0.8561891442134054,5.4913932179118175e-18,59,0.3537951985304184
log_total,log_mobile,0.9382663616220699,5.887538189428441e-28,59,0.011786798809972656
log_settlement,log_mobile,0.3911406655832887,0.0021900679934461734,59,0.0016508251737794304
motility_prop,log_stationary,0.12288900272700229,0.3537951985304184,59,1.256706901213039e-6
log_mobile,log_stationary,0.8561891442134054,5.4913932179118175e-18,59,1.256706901213039e-6
log_stationary,log_stationary,1,0,59,NA
log_total,log_stationary,0.9744109000687744,1.209212525081446e-38,59,0.011786798809972656
log_settlement,log_stationary,0.22973132094012846,0.0800600234272156,59,0.0016508251737794304
motility_prop,log_total,0.3353089706111981,0.009429439047978124,59,1.256706901213039e-6
log_mobile,log_total,0.9382663616220699,5.887538189428441e-28,59,1.256706901213039e-6
log_stationary,log_total,0.9744109000687744,1.209212525081446e-38,59,0.3537951985304184
log_total,log_total,0.9999999999999999,0,59,NA
log_settlement,log_total,0.3128218750449529,0.015852164880951213,59,0.0016508251737794304
motility_prop,log_settlement,0.41788078900698794,9.904951042676582e-4,59,1.256706901213039e-6
log_mobile,log_settlement,0.3911406655832887,0.0021900679934461734,59,1.256706901213039e-6
log_stationary,log_settlement,0.22973132094012846,0.0800600234272156,59,0.3537951985304184
log_total,log_settlement,0.3128218750449529,0.015852164880951213,59,0.011786798809972656
log_settlement,log_settlement,1,0,59,NA
