days_from_start,motility_prop.n,motility_prop.mean,motility_prop.se,motility_prop.median,motility_prop.q1,motility_prop.q3,settlement_count.n,settlement_count.mean,settlement_count.se,settlement_count.median,settlement_count.q1,settlement_count.q3,mobile_cell_count.n,mobile_cell_count.mean,mobile_cell_count.se,mobile_cell_count.median,mobile_cell_count.q1,mobile_cell_count.q3,stationary_cell_count.n,stationary_cell_count.mean,stationary_cell_count.se,stationary_cell_count.median,stationary_cell_count.q1,stationary_cell_count.q3
0,59,0.4782895901689889,0.014872216396315948,0.5011882192731836,0.42526354124122223,0.5284756991331743,59,3349.5254237288136,606.7733352703058,1182,652.5,3318,59,10150.610169491525,1422.3464957849963,6042,3074,12109,59,10598.406779661016,1544.8268067077167,5561,3446,13396.5
1,22,0.3844277474304175,0.0319066176056963,0.3713282370274004,0.2568261156625162,0.5483599265905206,22,5239.590909090909,1610.1835549946736,653,405.5,9835.5,22,14848.181818181818,3081.3319944299537,13972.5,396,28173.5,22,15698.454545454546,2934.074408596857,20492.5,1031.25,26701.25
4,317,0.41392530122048443,0.005580847635277694,0.40098049324622,0.37783711615487314,0.4843766606440642,317,3662.1324921135647,332.09692144936713,1224,421,3896,317,24534.476340694007,1072.7231517493276,25505,5102,38482,317,34169.6214511041,2231.0049833025128,26591,8740,47855
